No.,Estado,Clave.GASIR,SMN.No,GASIR.No,Nombre_estación, Longitud(Grados_decimales) , Latitud(Grados_decimales) ,Longitud ,Latitud ,Superficie(ha) ,Cultivo,Riesgo,Trigger.1,Inicio,Final,Trigger.2A,Trigger.2B,Inicio,Final,Trigger.3A,Trigger.3B,Inicio,Final,Cuota_(%)_2016,Suma_Asegurada($/ha),SumaAsegurada_TOTAL($),PrimaTotal_($),Foli,edo2,clave,cultivo,Acumulado
21,Guanajuato,IALGJ,11033,41124,Ignacio Allende,-100.825774,20.848033,-1004933,205053,500,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,750000,166875,1,Guanajuato,41124,Frijol,500
22,Guanajuato,CSTGJ,11040,41134,Los Castillos,-101.666667,21.2,-1014003,211143,1800,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,2700000,600750,1,Guanajuato,41134,Frijol,1800
23,Guanajuato,OCMGJ,11050,41138,Ocampo,-101.516667,21.633333,-1012847,213908,1700,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,2550000,567375,1,Guanajuato,41138,Frijol,1700
24,Guanajuato,PNLGJ,11051,41140,Peñuelitas,-100.875833,21.104444,-1005233,210616,1250,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1875000,417187.5,1,Guanajuato,41140,Frijol,1250
25,Guanajuato,SLPGJ,11068,41150,San Luis de la Paz,-100.516667,21.3,-1003100,211800,1150,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1725000,383812.5,1,Guanajuato,41150,Frijol,1150
26,Guanajuato,GTOGJ,11094,41155,Guanajuato,-101.265,21.012222,-1011554,210044,2000,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,3000000,667500,1,Guanajuato,41155,Frijol,2000
27,Guanajuato,PDLGJ,11017,41157,Puente Dolores,-100.9,21.1,-1005400,210600,1250,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1875000,417187.5,1,Guanajuato,41157,Frijol,1250
28,Guanajuato,XICGJ,11083,41192,Xichu,-100.0925,21.298889,-1000533,211756,901.5,Frijol,S-EH,35,01/06/2016,15/07/2016,60,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1352250,300875.63,1,Guanajuato,41192,Frijol,901.5
29,Guanajuato,CRTJL,14392,41413,El Cuarenta,-101.741131,21.500085,-1014428,213000,1500,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,2250000,500625,1,Guanajuato,41413,Frijol,1500
30,Guanajuato,JRQQT,22045,42208,Juriquilla,-100.45,20.7,-1002700,204200,200,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,300000,66750,1,Guanajuato,42208,Frijol,200
31,Guanajuato,CSRGJ,11011,41115,Cinco Señores,-100.775452,20.890759,-1004632,205327,2250,Maíz,S-EH,43,15/05/2016,05/07/2016,75,414,06/07/2016,20/08/2016,71,360,21/08/2016,21/10/2016,22.25%,1500,3375000,750937.5,1,Guanajuato,41115,Maíz,2250
32,Guanajuato,ECHGJ,11124,41121,El Chapín,-101.227674,20.891522,-1011340,205329,1600,Maíz,S-EH,43,15/05/2016,05/07/2016,80,414,06/07/2016,20/08/2016,60,360,21/08/2016,21/10/2016,22.25%,1500,2400000,534000,1,Guanajuato,41121,Maíz,1600
33,Guanajuato,IALGJ,11033,41124,Ignacio Allende,-100.825774,20.848033,-1004933,205053,1250,Maíz,S-EH,25,15/05/2016,05/07/2016,35,480,06/07/2016,20/08/2016,50,430,21/08/2016,21/10/2016,22.25%,1500,1875000,417187.5,1,Guanajuato,41124,Maíz,1250
34,Guanajuato,CSTGJ,11040,41134,Los Castillos,-101.666667,21.2,-1014003,211143,2200,Maíz,S-EH,43,15/05/2016,05/07/2016,80,480,06/07/2016,20/08/2016,60,430,21/08/2016,21/10/2016,22.25%,1500,3300000,734250,1,Guanajuato,41134,Maíz,2200
35,Guanajuato,OCMGJ,11050,41138,Ocampo,-101.516667,21.633333,-1012847,213908,2475,Maíz,S-EH,43,15/05/2016,05/07/2016,114,414,06/07/2016,20/08/2016,71,360,21/08/2016,21/10/2016,22.25%,1500,3712500,826031.25,1,Guanajuato,41138,Maíz,2475
36,Guanajuato,PNLGJ,11051,41140,Peñuelitas,-100.875833,21.104444,-1005233,210616,2400,Maíz,S-EH,43,15/05/2016,05/07/2016,35,480,06/07/2016,20/08/2016,50,430,21/08/2016,21/10/2016,22.25%,1500,3600000,801000,1,Guanajuato,41140,Maíz,2400
37,Guanajuato,SLPGJ,11068,41150,San Luis de la Paz,-100.516667,21.3,-1003100,211800,2250,Maíz,S-EH,43,15/05/2016,05/07/2016,35,480,06/07/2016,20/08/2016,50,430,21/08/2016,21/10/2016,22.25%,1500,3375000,750937.5,1,Guanajuato,41150,Maíz,2250
38,Guanajuato,GTOGJ,11094,41155,Guanajuato,-101.265,21.012222,-1011554,210044,2200,Maíz,S-EH,43,15/05/2016,05/07/2016,114,414,06/07/2016,20/08/2016,71,360,21/08/2016,21/10/2016,22.25%,1500,3300000,734250,1,Guanajuato,41155,Maíz,2200
39,Guanajuato,PDLGJ,11017,41157,Puente Dolores,-100.9,21.1,-1005400,210600,2400,Maíz,S-EH,43,15/05/2016,05/07/2016,114,414,06/07/2016,20/08/2016,71,360,21/08/2016,21/10/2016,22.25%,1500,3600000,801000,1,Guanajuato,41157,Maíz,2400
40,Guanajuato,XICGJ,11083,41192,Xichu,-100.0925,21.298889,-1000533,211756,1153.5,Maíz,S-EH,43,15/05/2016,05/07/2016,35,480,06/07/2016,20/08/2016,50,430,21/08/2016,21/10/2016,22.25%,1500,1730250,384980.63,1,Guanajuato,41192,Maíz,1153.5
41,Guanajuato,CRTJL,14392,41413,El Cuarenta,-101.741131,21.500085,-1014428,213000,1375,Maíz,S-EH,43,15/05/2016,05/07/2016,80,480,06/07/2016,20/08/2016,60,430,21/08/2016,21/10/2016,22.25%,1500,2062500,458906.25,1,Guanajuato,41413,Maíz,1375
42,Guanajuato,JRQQT,22045,42208,Juriquilla,-100.45,20.7,-1002700,204200,550,Maíz,S-EH,43,15/05/2016,05/07/2016,35,480,06/07/2016,20/08/2016,50,430,21/08/2016,21/10/2016,22.25%,1500,825000,183562.5,1,Guanajuato,42208,Maíz,550
43,Guanajuato,CSTGJ,11040,41134,Los Castillos,-101.666667,21.2,-1014003,211143,400,Trigo,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,600000,133500,1,Guanajuato,41134,Trigo,400
44,Guanajuato,OCMGJ,11050,41138,Ocampo,-101.516667,21.633333,-1012847,213908,950,Trigo,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1425000,317062.5,1,Guanajuato,41138,Trigo,950
45,Guanajuato,GTOGJ,11094,41155,Guanajuato,-101.265,21.012222,-1011554,210044,400,Trigo,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,600000,133500,1,Guanajuato,41155,Trigo,400
46,Guanajuato,XICGJ,11083,41192,Xichu,-100.0925,21.298889,-1000533,211756,141,Trigo,S-EH,35,01/06/2016,15/07/2016,60,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,211500,47058.75,1,Guanajuato,41192,Trigo,141
47,Guanajuato,CRTJL,14392,41413,El Cuarenta,-101.741131,21.500085,-1014428,213000,1750,Trigo,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,2625000,584062.5,1,Guanajuato,41413,Trigo,1750
48,Michoacán,CLLCM,6003,40614,Callejones,-103.6325,18.816389,-1033757,184859,1955,Maíz,S-EH,35,20/05/2016,30/06/2016,65,655,01/07/2016,14/08/2016,150,885,15/08/2016,13/10/2016,16.50%,1500,2932500,483862.5,1,Michoacán,40614,Maíz,1955
49,Michoacán,ACNGJ,11002,41101,Acámbaro,-100.712219,20.032499,-1004244,200157,1900,Maíz,S-EH,43,20/05/2016,30/06/2016,97,438,01/07/2016,14/08/2016,90,648,15/08/2016,13/10/2016,16.50%,1500,2850000,470250,1,Michoacán,41101,Maíz,1900
50,Michoacán,ABSGJ,11001,41102,Abasolo,-101.523056,20.447898,-1013123,202652,300,Maíz,S-EH,44,20/05/2016,30/06/2016,91,498,01/07/2016,14/08/2016,58,512,15/08/2016,13/10/2016,16.50%,1500,450000,74250,1,Michoacán,41102,Maíz,300
51,Michoacán,SLSGJ,11076,41146,Solís,-100.669121,20.04821,-1004009,200254,1450,Maíz,S-EH,45,20/05/2016,30/06/2016,63,438,01/07/2016,14/08/2016,61,504,15/08/2016,13/10/2016,16.50%,1500,2175000,358875,1,Michoacán,41146,Maíz,1450
52,Michoacán,JMYJL,14075,41422,Jamay,-102.654722,20.229167,-1023917,201345,8068.38,Maíz,S-EH,44,20/05/2016,30/06/2016,118,704,01/07/2016,14/08/2016,82,641,15/08/2016,13/10/2016,16.50%,1500,12102570,1996924.05,1,Michoacán,41422,Maíz,8068.38
53,Michoacán,POLJL,14070,41443,Polvora,-102.228561,20.490972,-1021343,202927,1154,Maíz,S-EH,45,20/05/2016,30/06/2016,107,568,01/07/2016,14/08/2016,109,587,15/08/2016,13/10/2016,16.50%,1500,1731000,285615,1,Michoacán,41443,Maíz,1154
54,Michoacán,COIMC,16022,41602,Cointzio,-101.258611,19.631667,-1011531,193754,5449,Maíz,S-EH,47,20/05/2016,30/06/2016,44,460,01/07/2016,14/08/2016,64,501,15/08/2016,13/10/2016,16.50%,1500,8173500,1348627.5,1,Michoacán,41602,Maíz,5449
55,Michoacán,TMUMC,16033,41608,Tercer Mundo,-100.289722,19.76,-1001723,194536,8672,Maíz,S-EH,45,20/05/2016,30/06/2016,130,561,01/07/2016,14/08/2016,111,525,15/08/2016,13/10/2016,16.50%,1500,13008000,2146320,1,Michoacán,41608,Maíz,8672
56,Michoacán,LDFMC,16061,41609,Laguna del Fresno,-100.406667,19.838611,-1002424,195019,2136,Maíz,S-EH,45,20/05/2016,30/06/2016,94,523,01/07/2016,14/08/2016,99,501,15/08/2016,13/10/2016,16.50%,1500,3204000,528660,1,Michoacán,41609,Maíz,2136
57,Michoacán,MRVMC,16078,41610,Maravatio,-100.441111,19.893056,-1002628,195335,8195,Maíz,S-EH,51,20/05/2016,30/06/2016,94,556,01/07/2016,14/08/2016,92,585,15/08/2016,13/10/2016,16.50%,1500,12292500,2028262.5,1,Michoacán,41610,Maíz,8195
58,Michoacán,CBLMC,16017,41612,Casa Blanca,-101.462494,20.323891,-1012745,201926,3957,Maíz,S-EH,45,20/05/2016,30/06/2016,96,637,01/07/2016,14/08/2016,103,601,15/08/2016,13/10/2016,16.50%,1500,5935500,979357.5,1,Michoacán,41612,Maíz,3957
